Date,State,Total,year,month,week,day_of_week,quarter,month_sin,month_cos,week_sin,week_cos,lag_1,lag_7,lag_30,rmean_4,rstd_4,rmean_8,rstd_8,rmean_13,rstd_13,rmean_26,rstd_26,rmean_52,rstd_52,rmin_13,rmax_13,expanding_mean,state_code,is_holiday,pct_wow,pct_mom,pct_yoy
2021-07-04,Maryland,95097182.05,2021,7,26,6,3,-0.4999999999999997,-0.8660254037844388,-3.216245299353273e-16,-1.0,112115089.4,120873098.9,92535533.2,111545446.15,1208440.4370092463,111954259.8625,3860913.8859708197,109138197.0076923,7117816.700766136,105279734.32115385,10833946.38892222,102255429.1423077,8955503.954150751,98801109.39999999,120873098.9,96822040.3011628,15,1,-0.15178962476035818,-0.1372415840972644,-0.10842884052844459
2021-07-11,Maryland,143534789.9,2021,7,27,6,3,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,95097182.05,109786682.3,100584077.7,107763597.23750001,8484734.498353163,110042934.76875001,7139712.932619839,108774780.61923076,7727622.941090165,104864461.64038461,11014867.83773663,102033019.75865385,8987463.8928198,95097182.05,120873098.9,96808772.16076922,15,0,0.5093485086080951,0.2710243024647645,0.37060312647391846
2021-07-18,Maryland,117222485.19999999,2021,7,28,6,3,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521,143534789.9,108404730.3,97236199.8,115415185.0625,20287004.146709125,112875646.14375,13612212.90119342,110541535.7423077,12059635.860902507,106019914.99038461,13295733.930383345,102779384.63750002,10669444.423996812,95097182.05,143534789.9,97165459.31908396,15,0,-0.18331656540084584,0.05688032677816057,0.045031128715172564
2021-07-25,Maryland,115587895.10000001,2021,7,29,6,3,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,117222485.19999999,110224577.7,98295540.69999999,116992386.6375,20064397.395793967,113805121.50625,13625020.561079657,111914160.88846153,11693100.041350877,106898910.93653846,13250010.199592814,102876523.09134616,10779059.168632098,95097182.05,143534789.9,97317406.48484848,15,0,-0.01394433923842442,0.030975363963809066,0.06433876098896385
2021-08-01,Maryland,112688887.20000002,2021,8,30,6,3,-0.8660254037844385,-0.5000000000000004,-0.46472317204376806,-0.8854560256532101,115587895.10000001,112928438.60000001,105894271.75,117860588.0625,19857069.28566857,114703017.10625,13453903.42437538,113205452.09615384,11032567.840499317,107788566.43653846,13016014.720277483,103010892.93942308,10894744.435391543,95097182.05,143534789.9,97454778.57969925,15,0,-0.025080549286687348,0.18498660812841639,0.10323739134024401
2021-08-08,Maryland,109789879.30000001,2021,8,31,6,3,-0.8660254037844385,-0.5000000000000004,-0.5680647467311556,-0.8229838658936566,112688887.20000002,110913678.9,113493002.8,122258514.35000001,14307532.000635792,115011055.79375,13364632.529643092,113828101.41153847,10730362.119858153,108515475.62884615,12727466.191097964,103213682.59423079,10976125.257246064,95097182.05,143534789.9,97568465.95746268,15,0,-0.02572576561923845,-0.23509917437793237,0.14738568323594836
2021-08-15,Maryland,111549136.39999999,2021,8,32,6,3,-0.8660254037844385,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,109789879.30000001,112115089.4,94368590.60000001,113822286.7,3277378.3591827615,114618735.88125001,13480069.355798652,113782108.83461538,10747604.389002018,108813162.29423077,12660533.805227967,103484892.05576923,10960724.88668002,95097182.05,143534789.9,97658994.94518518,15,0,0.01602385494197356,-0.048398127631574916,0.1192643571388119
2021-08-22,Maryland,109293516.9,2021,8,33,6,3,-0.8660254037844385,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,111549136.39999999,95097182.05,92456852.10000001,112403949.5,2434664.0783409905,114698168.06875001,13456970.614420755,113064880.95000002,10544147.749329193,109570797.90576921,12185337.07708052,103713473.44423078,11003314.53300998,95097182.05,143534789.9,97761128.33823529,15,0,-0.020220860266561336,-0.054455340626753945,0.05966391658325687
2021-08-29,Maryland,111588539.9,2021,8,34,6,3,-0.8660254037844385,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,109293516.9,143534789.9,93789248.2,110830354.95,1572179.9798705627,114345471.50625001,13570836.41356931,113026945.15000002,10557803.247286638,110235717.40576924,11648359.507933274,103831814.29038462,11030082.755299093,95097182.05,143534789.9,97845306.35693431,15,1,0.020998711223648048,-0.009764470369177713,0.07611876859820166
2021-09-05,Maryland,102307391.0,2021,9,35,6,3,-1.0,-1.8369701987210297e-16,-0.8854560256532096,-0.4647231720437691,111588539.9,117222485.19999999,102050026.0,110555268.125,1187891.818345934,116406891.2375,11290208.280818688,113271853.58076923,10478274.788944894,110890033.34423079,11202837.482465718,103983605.91153847,11082355.757112619,95097182.05,143534789.9,97944895.0057971,15,0,-0.08317295762017585,-0.06815280559289227,0.15392437106139956
